#{"t_start": 1743693148.5009587, "env_id": "SuperMarioBros-v2"}
r,l,t
1500.0,213,36973.894314
1876.0,228,36979.958938
2094.0,258,36984.264325
2358.0,374,36992.113092
1882.0,293,36997.092213
1578.0,236,37002.785423
1560.0,280,37007.315862
2504.0,433,37410.596876
2441.0,409,37419.437593
1799.0,272,37425.74272
2201.0,399,37432.385631
1469.0,210,37437.766258
1983.0,279,37442.208671
1881.0,266,37448.717331
2027.0,338,37456.038008
2270.0,335,37468.08346
3094.0,346,37475.729049
1084.0,165,37478.426107
1285.0,209,37483.772112
2039.0,329,37488.982237
1506.0,216,37494.686658
2018.0,333,37499.980643
1092.0,150,37504.274178
1992.0,337,37510.018882
2325.0,312,37516.97129
2375.0,305,37530.070486
2031.0,330,37535.62062
711.0,99,37537.280524
1053.0,164,37541.902646
2416.0,446,37551.204439
1697.0,314,37556.222718
2417.0,389,37564.419632
1199.0,208,37567.958169
1853.0,287,37574.539873
1864.0,330,37588.38084
1716.0,274,37592.698518
1658.0,220,37596.567726
1520.0,224,37602.14656
1995.0,388,37610.551234
1840.0,270,37614.960214
2271.0,416,37623.594978
1889.0,294,37630.576037
2048.0,380,37901.579214
3064.0,495,37911.898309
2420.0,362,37919.743369
1487.0,216,37923.261589
2670.0,440,37932.338686
1221.0,215,37937.766017
1943.0,303,37943.142941
2020.0,297,37958.372229
2464.0,512,37968.555378
2012.0,461,37978.259049
2271.0,493,37988.260391
2024.0,243,37992.187943
2046.0,320,37999.478705
2117.0,299,38004.581917
1558.0,288,38404.352222
2961.0,490,38414.497435
1071.0,149,38416.864837
2698.0,401,38425.851618
2080.0,392,38434.066462
3167.0,473,38444.068592
3163.0,593,38466.471201
2584.0,329,38473.760145
1056.0,173,38476.52901
2015.0,307,38482.144739
1503.0,214,38487.590219
2186.0,326,38494.884
1745.0,262,38499.435455
1911.0,270,38505.774878
1438.0,219,38509.271681
1591.0,245,38905.351042
1991.0,323,38914.321999
1832.0,268,38921.204367
1958.0,318,38926.363631
1455.0,226,38932.226728
1563.0,223,38935.904795
1917.0,326,38943.351359
2561.0,368,38949.57887
1121.0,150,38954.012275
1898.0,305,38965.272265
2061.0,407,38973.776484
2543.0,369,38982.322896
2318.0,290,38986.956496
1964.0,271,38993.509992
2010.0,289,39000.314857
1657.0,217,39003.846792
3138.0,444,39013.34659
2946.0,476,39028.872869
1660.0,284,39033.42409
1115.0,211,39039.051903
2363.0,408,39047.7924
1619.0,353,39053.623843
1468.0,193,39058.795964
2613.0,579,39071.995549
1526.0,179,39080.923805
2165.0,369,39089.035506
1506.0,189,39092.156111
2574.0,365,39100.407809
2615.0,384,39108.621132
2400.0,365,39114.889082
2791.0,406,39123.489171
2168.0,323,39130.951365
2042.0,331,39530.44178
1813.0,195,39536.065189
1457.0,180,39538.925087
2034.0,313,39546.042519
1960.0,276,39550.651905
735.0,94,39552.191159
1851.0,413,39560.795256
1979.0,392,39569.403887
1862.0,280,39575.885723
1088.0,164,39977.935869
3019.0,502,39988.203341
1654.0,270,39992.412273
1695.0,326,39999.938982
2259.0,318,40007.160136
2277.0,338,40012.917275
1538.0,240,40018.82985
2449.0,383,40027.169683
2513.0,387,40039.446543
2607.0,475,40049.258601
2696.0,408,40058.035186
2553.0,671,40070.705183
1074.0,128,40075.236447
2041.0,280,40079.632087
2242.0,523,40102.413505
2380.0,385,40110.611051
2882.0,466,40120.223911
1084.0,140,40122.488185
2665.0,441,40131.517616
1849.0,373,40139.745818
2382.0,598,40546.268064
2171.0,322,40551.445595
2804.0,423,40560.416664
2255.0,309,40567.620596
1909.0,246,40571.619477
2378.0,475,40581.575968
1062.0,182,40586.752614
3515.0,488,40995.449873
1095.0,140,40997.765711
2521.0,455,41007.42354
1618.0,367,41015.308972
2571.0,304,41020.372012
2426.0,365,41028.169971
2712.0,359,41036.130868
2299.0,382,41436.247155
2088.0,254,41442.581296
1840.0,311,41447.661138
1715.0,276,41454.327352
1787.0,259,41458.50864
1896.0,319,41465.542466
2233.0,477,41475.414796
2434.0,397,41484.350845
2042.0,284,41885.242013
1852.0,284,41892.044036
1081.0,144,41894.321092
3066.0,737,41910.503888
1565.0,263,41914.658634
2606.0,469,41924.362848
1467.0,198,41927.530494
2791.0,472,42328.475597
2280.0,308,42335.385604
2164.0,366,42343.750287
2487.0,381,42349.860214
2531.0,530,42360.482893
1868.0,251,42366.414377
1780.0,247,42370.667481
2326.0,347,42775.478131
2410.0,397,42783.773524
1983.0,302,42788.618256
2436.0,525,42799.04067
2303.0,413,42807.792025
2012.0,313,42814.734716
1443.0,199,42818.022708
1457.0,186,42823.178648
2604.0,364,42836.166552
1985.0,298,42842.786345
2665.0,450,42852.233269
1494.0,301,42856.97581
1819.0,279,42863.389977
2656.0,419,42872.332931
1527.0,304,42877.10838
2525.0,382,43155.196737
1909.0,266,43161.379528
2427.0,390,43167.929562
2964.0,509,43177.980193
1454.0,200,43183.47394
1919.0,289,43188.06617
1459.0,353,43196.082916
1094.0,160,43198.706568
1472.0,204,43599.869982
3379.0,497,43610.00045
1990.0,263,43614.253801
1081.0,134,43616.727751
2438.0,558,43629.863204
1585.0,238,43633.880087
2391.0,374,43641.910943
1607.0,284,43646.646251
2652.0,514,43890.11805
1657.0,260,43893.773571
1987.0,279,43895.978091
1832.0,310,43900.284271
1902.0,323,43904.628311
2680.0,429,43908.083979
1875.0,294,43912.03872
1510.0,260,44323.153451
1541.0,304,44327.943376
1441.0,176,44330.891927
1860.0,274,44339.360442
1486.0,207,44342.927944
2801.0,427,44351.501807
1457.0,209,44357.264646
2795.0,486,44366.883462
1996.0,323,44788.848857
1454.0,177,44793.960797
2293.0,360,44799.489778
2252.0,274,44806.063386
1901.0,277,44810.464981
1583.0,241,44816.441051
1534.0,234,44820.723306
1860.0,287,44827.305939
1720.0,253,44831.265789
2589.0,368,45126.365095
1708.0,268,45133.203322
1492.0,212,45136.675494
1469.0,201,45140.219567
1974.0,321,45147.587008
2699.0,387,45156.1691
2687.0,379,45162.365033
1573.0,244,45168.235937
1968.0,323,45175.728871
2298.0,369,45190.071159
2036.0,294,45197.320932
2997.0,422,45209.105583
1851.0,288,45213.857677
1857.0,366,45222.07711
2014.0,304,45229.327071
2811.0,325,45234.479378
1079.0,139,45237.220508
1103.0,127,45241.401736
1556.0,221,45449.570556
1607.0,248,45453.029167
1979.0,256,45455.146513
1902.0,293,45459.10275
2275.0,323,45461.805823
1509.0,215,45465.137349
2091.0,315,45467.728454
2051.0,265,45471.619837
1577.0,213,45473.519821
1936.0,584,45710.664668
2576.0,659,45719.220558
2918.0,403,45723.94254
1087.0,149,45725.271952
2026.0,270,45727.433102
2266.0,320,45731.562818
1861.0,264,45733.683384
1467.0,298,45741.960667
2433.0,326,45746.569674
1577.0,240,45748.505886
1188.0,314,45752.558646
1866.0,229,45754.551654
1076.0,158,45757.323867
2578.0,363,45760.521111
2260.0,304,45764.670421
1582.0,238,45766.680947
1638.0,243,45926.144068
3074.0,436,45931.044951
1867.0,252,45934.018945
2300.0,382,45938.474471
1514.0,196,45940.083289
2320.0,303,45944.080373
1887.0,284,45946.540504
1882.0,306,45950.373335
2170.0,303,46181.524688
2095.0,304,46184.096922
1464.0,238,46187.463047
3063.0,501,46192.774131
1592.0,230,46194.597213
2265.0,384,46199.114607
3031.0,469,46204.269144
2466.0,346,46438.928078
2248.0,383,46443.508732
1648.0,270,46447.183055
1834.0,254,46449.467636
2371.0,484,46454.865026
1814.0,251,46458.315539
1913.0,234,46460.273195
2324.0,433,46465.419852
3226.0,427,46698.595125
1528.0,232,46700.534336
4263.0,790,46710.349886
1864.0,245,46712.451106
2526.0,339,46716.809656
1837.0,282,46719.136959
1962.0,287,46804.804263
1504.0,195,46806.792723
1455.0,232,46810.128092
2470.0,312,46812.608194
2031.0,303,46816.322194
1539.0,211,46817.970178
2568.0,393,46822.572881
2938.0,431,46827.752997
1861.0,326,46831.854026
